"year"	"month"	"day"	"site"	"habitat"	"area"	"common_name"	"count"
1999	2	23	"A"	"pool"	18.1642792172112	"Bluegill"	0
1999	2	23	"A"	"pool"	19.8032027989302	"Bluntnose Minnow"	0
1999	2	23	"A"	"pool"	19.2152029722993	"Carmine Shiner"	0
1999	2	23	"A"	"pool"	16.1728900062667	"Central Stoneroller"	100
1999	2	23	"A"	"pool"	17.3154862527769	"Common Shiner"	0
1999	2	23	"A"	"pool"	14.5361771829222	"Creek Chub"	85
1999	2	23	"A"	"pool"	15.7127792750122	"Fathead Minnow"	0
1999	2	23	"A"	"pool"	16.9626933147119	"Green Sunfish"	0
1999	2	23	"A"	"pool"	17.1731167735593	"Johnny Darter"	0
1999	2	23	"A"	"pool"	15.3582573136306	"Longear Sunfish"	0
1999	2	23	"A"	"pool"	17.2050174089685	"Orangespotted Sunfish"	0
1999	2	23	"A"	"pool"	16.1092334972911	"Orangethroated Darter"	85
1999	2	23	"A"	"pool"	22.0324411233056	"Red Shiner"	0
1999	2	23	"A"	"pool"	12.728397840868	"Ringed Crayfish"	0
1999	2	23	"A"	"pool"	16.8932251880055	"Sand Shiner"	0
1999	2	23	"A"	"pool"	16.4779199382574	"Slender Madtom"	0
1999	2	23	"A"	"pool"	15.0648341800525	"Southern Redbelly Dace"	136
1999	2	23	"A"	"pool"	18.3453563105258	"Suckermouth Minnows"	0
1999	2	23	"A"	"pool"	19.7187494669008	"Water Nymph Crayfish"	0
1999	2	23	"A"	"pool"	14.6626530514798	"Western Mosquitofish"	0
1999	2	23	"A"	"pool"	19.6091633016682	"White Sucker"	3
1999	2	23	"A"	"riffle"	10.5006863976563	"Bluegill"	0
1999	2	23	"A"	"riffle"	11.8393795707604	"Bluntnose Minnow"	0
1999	2	23	"A"	"riffle"	9.66222422043496	"Carmine Shiner"	0
1999	2	23	"A"	"riffle"	10.7358118380476	"Central Stoneroller"	31
1999	2	23	"A"	"riffle"	10.3538909513721	"Common Shiner"	0
1999	2	23	"A"	"riffle"	8.42585106740732	"Creek Chub"	0
1999	2	23	"A"	"riffle"	8.65226834570828	"Fathead Minnow"	0
1999	2	23	"A"	"riffle"	12.8277626205528	"Green Sunfish"	0
1999	2	23	"A"	"riffle"	12.3344989804802	"Johnny Darter"	0
